,socio1_0,socio2_0,self_described
212,Germany,Male,
213,Germany,Male,
214,Germany,Prefer not to say,
215,Germany,Female,
216,Germany,Female,
217,Germany,Male,
218,Germany,Male,
219,Germany,Male,
220,Germany,Male,
221,Germany,Prefer not to say,
222,Germany,Male,
223,Germany,Male,
224,Germany,Female,
225,Germany,Male,
226,Germany,Male,
227,Germany,Male,
228,Germany,Female,
229,Germany,Female,
230,Germany,Male,
231,Germany,Male,
232,Germany,Male,
233,Germany,Male,
234,Germany,Male,
235,Germany,Prefer to self describe,Demi-male
236,Germany,Male,
237,Germany,Male,
238,Germany,Male,
239,Germany,Female,
240,Germany,Male,
241,Germany,Male,
242,Germany,Male,
243,Germany,Male,
244,Germany,Male,
245,Germany,Male,
246,Germany,Male,
247,Germany,Male,
248,Germany,Male,
249,Germany,Male,
250,Germany,Male,
251,Germany,Male,
252,Germany,Female,
253,Germany,Female,
254,Germany,Female,
255,Germany,Male,
256,Germany,Male,
257,Germany,Male,
258,Germany,Male,
259,Germany,Female,
260,Germany,Prefer not to say,
261,Germany,Male,
262,Germany,Male,
263,Germany,Male,
264,Germany,Male,
265,Germany,Male,
266,Germany,Male,
267,Germany,Male,
268,Germany,Male,
269,Germany,Female,
270,Germany,Male,
271,Germany,Male,
272,Germany,Male,
273,Germany,Male,
274,Germany,Male,
275,Germany,Male,
276,Germany,Male,
277,Germany,Female,
278,Germany,Prefer not to say,
279,Germany,Female,
280,Germany,Male,
281,Germany,Male,
282,Germany,Male,
283,Germany,Male,
284,Germany,Male,
285,Germany,Male,
286,Germany,Female,
287,Germany,Male,
288,Germany,Male,
289,Germany,Male,
290,Germany,Female,
291,Germany,Male,
292,Germany,Male,
293,Germany,Prefer not to say,
294,Ireland,Female,
295,Ireland,Male,
296,Ireland,Male,
297,Kenya,Male,
298,Kenya,Male,
299,Kenya,Male,
300,Netherlands,Male,
301,Netherlands,Male,
302,Netherlands,Male,
303,Netherlands,Male,
304,Netherlands,Prefer to self describe,"Male, though technically genderfluid"
305,Netherlands,Male,
306,Netherlands,Female,
307,Netherlands,Male,
308,Netherlands,Male,
309,Netherlands,Male,
310,Netherlands,Male,
311,Netherlands,Male,
312,Netherlands,Male,
313,Netherlands,Female,
314,Netherlands,Male,
315,Netherlands,Male,
316,Netherlands,Male,
317,Netherlands,Female,
318,Netherlands,Male,
319,Netherlands,Male,
320,Netherlands,Male,
321,Netherlands,Male,
322,Netherlands,Prefer to self describe,unique individual
323,Netherlands,Male,
324,Netherlands,Female,
325,Netherlands,Female,
326,Netherlands,Female,
327,Netherlands,Male,
328,Netherlands,Female,
329,Netherlands,Female,
330,Netherlands,Male,
331,Netherlands,Male,
332,Netherlands,Male,
333,Netherlands,Female,
334,Netherlands,Prefer not to say,
335,Netherlands,Male,
336,Netherlands,Prefer to self describe,non-binary
337,Netherlands,Male,
338,Netherlands,Male,
339,Netherlands,Male,
340,Netherlands,Male,
341,Netherlands,Male,
342,Netherlands,Male,
343,Netherlands,Prefer not to say,
344,Netherlands,Male,
345,Netherlands,Prefer not to say,
346,Netherlands,Male,
347,Netherlands,Male,
348,Netherlands,Male,
349,Netherlands,Male,
350,Nigeria,Male,
351,Nigeria,Male,
352,Nigeria,Male,
353,Norway,Male,
354,Norway,Male,
355,Norway,Male,
356,Norway,Male,
357,Norway,Female,
358,Norway,Male,
359,Norway,Male,
360,Norway,Male,
361,Norway,Male,
362,Other,Male,
363,Other,Male,
364,Other,Male,
365,Other,Male,
366,Other,Female,
367,Other,Male,
368,Other,Male,
369,Other,Male,
370,Other,Male,
371,Other,Male,
372,Other,Male,
373,Other,Male,
374,Other,Male,
375,Other,Male,
376,Other,Male,
377,Other,Male,
378,Other,Male,
379,Other,Male,
380,Other,Female,
381,Other,Female,
382,Other,Male,
383,Other,Male,
384,Other,Female,
385,Poland,Male,
386,Poland,Male,
387,Poland,Male,
388,Poland,Female,
389,Poland,Male,
390,Poland,Male,
391,Poland,Male,
392,Poland,Male,
393,Poland,Male,
394,Poland,Male,
395,Poland,Male,
396,Poland,Male,
397,South Africa,Male,
398,South Africa,Male,
399,South Africa,Male,
400,South Africa,Male,
401,South Africa,Male,
402,South Africa,Male,
403,South Africa,Male,
404,South Africa,Female,
405,South Africa,Male,
406,South Africa,Female,
407,South Africa,Male,
408,South Africa,Male,
409,South Africa,Male,
410,South Africa,Male,
411,South Africa,Male,
412,South Africa,Male,
413,South Africa,Male,
414,South Africa,Male,
415,South Africa,Male,
416,South Africa,Female,
417,South Africa,Female,
418,South Africa,Male,
419,South Africa,Male,
420,South Africa,Male,
421,South Africa,Male,
422,South Africa,Male,
423,South Africa,Male,
424,South Africa,Female,
425,South Africa,Female,
426,South Africa,Prefer not to say,
427,South Africa,Male,
428,South Africa,Female,
429,South Africa,Female,
430,South Africa,Male,
431,South Africa,Male,
432,South Africa,Male,
433,South Africa,Male,
434,South Africa,Male,
435,South Africa,Male,
436,South Africa,Male,
437,Spain,Female,
438,Spain,Male,
439,Spain,Male,
440,Spain,Male,
441,Spain,Male,
442,Spain,Male,
443,Spain,Female,
444,Spain,Male,
445,Sweden,Prefer to self describe,Female (no gender identity)
446,Sweden,Male,
447,Sweden,Male,
448,Sweden,Male,
449,Sweden,Male,
450,Sweden,Male,
451,Sweden,Male,
452,Sweden,Male,
453,Sweden,Male,
454,Sweden,Female,
455,Sweden,Male,
456,Sweden,Prefer not to say,
457,Sweden,Female,
458,Sweden,Male,
459,Sweden,Male,
460,Sweden,Prefer not to say,
461,Sweden,Male,
462,Sweden,Male,
463,Sweden,Male,
464,Switzerland,Male,
465,Switzerland,Male,
466,Switzerland,Male,
467,Switzerland,Male,
468,Switzerland,Male,
469,Switzerland,Male,
470,Switzerland,Male,
471,Switzerland,Male,
472,Switzerland,Male,
473,Switzerland,Male,
474,Switzerland,Male,
475,Switzerland,Female,
476,Switzerland,Female,
477,Switzerland,Prefer not to say,
478,Switzerland,Male,
479,Switzerland,Male,
480,Switzerland,Prefer not to say,
481,Switzerland,Prefer to self describe,individual
482,Switzerland,Male,
483,Switzerland,Male,
484,Switzerland,Female,
485,Switzerland,Male,
486,Switzerland,Male,
487,Switzerland,Female,
488,Switzerland,Male,
489,Switzerland,Male,
490,Switzerland,Male,
491,Switzerland,Male,
492,Switzerland,Male,
493,Switzerland,Male,
494,Switzerland,Male,
495,Switzerland,Male,
496,Switzerland,Male,
497,Switzerland,Male,
498,Switzerland,Male,
499,Switzerland,Male,
500,Switzerland,Male,
501,Switzerland,Male,
502,Switzerland,Male,
503,Switzerland,Male,
504,Switzerland,Male,
505,Switzerland,Female,
506,Switzerland,Male,
507,Switzerland,Male,
508,Switzerland,Male,
509,Switzerland,Male,
510,Switzerland,Male,
511,Switzerland,Male,
512,Switzerland,Male,
513,Switzerland,Male,
514,Switzerland,Prefer not to say,
515,Switzerland,Male,
516,Switzerland,Male,
517,Switzerland,Male,
518,Switzerland,Prefer not to say,
519,Switzerland,Male,
520,Switzerland,Male,
521,Switzerland,Male,
522,Switzerland,Male,
523,Switzerland,Male,
524,Switzerland,Male,
525,Switzerland,Female,
526,Switzerland,Male,
527,Switzerland,Male,
528,Switzerland,Male,
529,Switzerland,Male,
530,United Kingdom,Male,
531,United Kingdom,Prefer to self describe,Genderfluid
532,United Kingdom,Female,
533,United Kingdom,Male,
534,United Kingdom,Male,
535,United Kingdom,Female,
536,United Kingdom,Female,
537,United Kingdom,Male,
538,United Kingdom,Male,
539,United Kingdom,Male,
540,United Kingdom,Male,
541,United Kingdom,Male,
542,United Kingdom,Male,
543,United Kingdom,Male,
544,United Kingdom,Female,
545,United Kingdom,Male,
546,United Kingdom,Male,
547,United Kingdom,Male,
548,United Kingdom,Prefer not to say,
549,United Kingdom,Female,
550,United Kingdom,Male,
551,United Kingdom,Male,
552,United Kingdom,Female,
553,United Kingdom,Male,
554,United Kingdom,Male,
555,United Kingdom,Male,
556,United Kingdom,Male,
557,United Kingdom,Female,
558,United Kingdom,Female,
559,United Kingdom,Male,
560,United Kingdom,Female,
561,United Kingdom,Female,
562,United Kingdom,Prefer not to say,
563,United Kingdom,Male,
564,United Kingdom,Female,
565,United Kingdom,Male,
566,United Kingdom,Female,
567,United Kingdom,Male,
568,United Kingdom,Male,
569,United Kingdom,Prefer not to say,
570,United Kingdom,Female,
571,United Kingdom,Male,
572,United Kingdom,Female,
573,United Kingdom,Male,
574,United Kingdom,Male,
575,United Kingdom,Male,
576,United Kingdom,Male,
577,United Kingdom,Male,
578,United Kingdom,Female,
579,United Kingdom,Female,
580,United Kingdom,Female,
581,United Kingdom,Male,
582,United Kingdom,Male,
583,United Kingdom,Male,
584,United Kingdom,Male,
585,United Kingdom,Male,
586,United Kingdom,Prefer not to say,
587,United Kingdom,Prefer not to say,
588,United Kingdom,Male,
589,United Kingdom,Female,
590,United Kingdom,Female,
591,United Kingdom,Male,
592,United Kingdom,Male,
593,United Kingdom,Male,
594,United Kingdom,Male,
595,United Kingdom,Male,
596,United Kingdom,Male,
597,United Kingdom,Prefer to self describe,Genderqueer
598,United Kingdom,Male,
599,United Kingdom,Male,
600,United Kingdom,Male,
601,United Kingdom,Male,
602,United Kingdom,Male,
603,United Kingdom,Male,
604,United Kingdom,Prefer not to say,
605,United Kingdom,Prefer not to say,
606,United Kingdom,Prefer not to say,
607,United Kingdom,Female,
608,United Kingdom,Prefer not to say,
609,United Kingdom,Prefer to self describe,Non-binary
610,United Kingdom,Male,
611,United Kingdom,Male,
612,United Kingdom,Male,
613,United Kingdom,Male,
614,United Kingdom,Male,
615,United Kingdom,Male,
616,United Kingdom,Male,
617,United Kingdom,Prefer to self describe,Non-binary/none
618,United Kingdom,Male,
619,United Kingdom,Male,
620,United Kingdom,Male,
621,United Kingdom,Male,
622,United Kingdom,Male,
623,United Kingdom,Male,
624,United Kingdom,Male,
625,United Kingdom,Male,
626,United Kingdom,Male,
627,United Kingdom,Male,
628,United Kingdom,Prefer not to say,
629,United Kingdom,Female,
630,United Kingdom,Male,
631,United Kingdom,Female,
632,United Kingdom,Male,
633,United Kingdom,Male,
634,United Kingdom,Male,
635,United Kingdom,Male,
636,United Kingdom,Female,
637,United Kingdom,Prefer to self describe,nonbinary
638,United Kingdom,Male,
639,United Kingdom,Male,
640,United Kingdom,Male,
641,United Kingdom,Female,
642,United Kingdom,Male,
643,United Kingdom,Female,
644,United Kingdom,Male,
645,United Kingdom,Female,
646,United Kingdom,Male,
647,United Kingdom,Female,
648,United Kingdom,Prefer to self describe,Agender (non-binary)
649,United Kingdom,Male,
650,United Kingdom,Male,
651,United Kingdom,Male,
652,United Kingdom,Female,
653,United Kingdom,Male,
654,United States,Prefer not to say,
655,United States,Male,
656,United States,Male,
657,United States,Male,
658,United States,Male,
659,United States,Male,
660,United States,Male,
661,United States,Male,
662,United States,Prefer not to say,
663,United States,Female,
664,United States,Male,
665,United States,Male,
666,United States,Male,
667,United States,Male,
668,United States,Male,
669,United States,Male,
670,United States,Male,
671,United States,Male,
672,United States,Female,
673,United States,Male,
674,United States,Male,
675,United States,Male,
676,United States,Male,
677,United States,Female,
678,United States,Male,
679,United States,Female,
680,United States,Male,
681,United States,Female,
682,United States,Male,
683,United States,Male,
684,United States,Male,
685,United States,Male,
686,United States,Male,
687,United States,Male,
688,United States,Male,
689,United States,Male,
690,United States,Male,
691,United States,Female,
692,United States,Male,
693,United States,Male,
694,United States,Female,
695,United States,Male,
696,United States,Male,
697,United States,Male,
698,United States,Male,
699,United States,Male,
700,United States,Female,
701,United States,Male,
702,United States,Male,
703,United States,Male,
704,United States,Male,
705,United States,Male,
706,United States,Female,
707,United States,Male,
708,United States,Female,
709,United States,Male,
710,United States,Female,
711,United States,Female,
712,United States,Female,
713,United States,Female,
714,United States,Male,
715,United States,Male,
716,United States,Male,
717,United States,Female,
718,United States,Male,
719,United States,Male,
720,United States,Male,
721,United States,Male,
722,United States,Prefer to self describe,non-binary
723,United States,Female,
724,United States,Male,
725,United States,Male,
726,United States,Female,
727,United States,Female,
728,United States,Male,
729,United States,Male,
730,United States,Male,
731,United States,Male,
732,United States,Male,
733,United States,Male,
734,United States,Male,
735,United States,Male,
736,United States,Male,
737,United States,Male,
738,United States,Female,
739,United States,Female,
740,United States,Male,
741,United States,Prefer not to say,
742,United States,Male,
743,United States,Female,
744,United States,Male,
