,submitdate_0,startlanguage_0,seed_0,startdate_0,socio1_0,rse1_0,edu2_0,rse3_0,soft2can_0,soft1can_0,open1de_0,rse4de_0,ukrse1_0,org1can_0,org1cz_0,org1swiss_0,org2can[SQ001]_0,org2can[SQ002]_0,org2can[SQ003]_0,org2can[SQ004]_0,org2can[SQ005]_0,org2can[other]_0,ukrse12sa_0,org3us_0,org4us_0,org5us_0,org3nord[1]_0,org3nord[2]_0,org3nord[3]_0,org3nord[4]_0,org3nord[5]_0,org3nord[6]_0,org3nord[7]_0,org3nord[other]_0,org4nord[1]_0,org4nord[2]_0,org4nord[3]_0,org4nord[4]_0,org4nord[5]_0,org4nord[6]_0,org4nord[7]_0,org4nord[8]_0,org4nord[9]_0,org4nord[10]_0,org4nord[other]_0,currentEmp1_0,currentEmp1[other]_0,currentEmp1qde_0,currentEmp1qde[other]_0,currentEmp1qswiss_0,currentEmp1qswiss[other]_0,currentEmp1nl_0,currentEmp1nl[other]_0,currentEmp11qcl_0,currentEmp11qcl[other]_0,currentEmp1qzaf_0,currentEmp11qzaf_0,currentEmp20deqde_0,currentEmp20deqde[other]_0,currentEmp20qus_0,currentEmp20qus[other]_0,currentEmp21deqde_0,currentEmp22deqde_0,currentEmp22deqde[other]_0,currentEmp23deqde_0,currentEmp23deqde[other]_0,currentEmp24deqde_0,currentEmp24deqde[other]_0,prevEmp1_0,prevEmp1[other]_0,prevEmp1qde_0,prevEmp1qde[other]_0,prevEmp1nl_0,prevEmp1nl[other]_0,prevEmp1qswiss_0,prevEmp1qswiss[other]_0,currentEmp5_0,currentEmp6_0,currentEmp60_0,currentEmp12_0,currentEmp10_0,currentEmp10[other]_0,currentEmp11_0,currentEmp13[1]_0,currentEmp13[2]_0,currentEmp13[3]_0,currentEmp13[4]_0,currentEmp13[5]_0,currentEmp13[6]_0,currentEmp13[7]_0,currentEmp13[8]_0,currentEmp13[9]_0,currentEmp13[10]_0,currentEmp13[11]_0,currentEmp13[12]_0,currentEmp13[13]_0,currentEmp13[14]_0,currentEmp13[15]_0,currentEmp13[16]_0,currentEmp13[17]_0,currentEmp13[other]_0,likert0[1]_0,likert0[2]_0,likert0[3]_0,likert0[4]_0,likert0[5]_0,likert1[1]_0,likert1[2]_0,likert1[3]_0,likert1[4]_0,likert1[5]_0,likert3a[SQ001]_0,likert3b[SQ001]_0,likert4a[1]_0,likert4b[1]_0,likert4b[2]_0,likert4c[1]_0,likert4c[2]_0,likert4c[3]_0,likert5b[1]_0,likert5b[2]_0,likert5b[3]_0,likert5a[1]_0,likert5a[2]_0,likert5a[3]_0,turnOver3[SQ001]_0,turnOver3zaf[1]_0,turnOver3zaf[2]_0,turnOver3zaf[3]_0,turnOver3zaf[4]_0,turnOver3zaf[5]_0,turnOver3zaf[6]_0,turnOver3zaf[7]_0,turnOver3zaf[8]_0,turnOver3zaf[9]_0,org3de_0,org4de[1]_0,org4de[2]_0,org4de[3]_0,org4de[4]_0,org4de[5]_0,org4de[6]_0,org4de[7]_0,org4de[8]_0,org4de[9]_0,org4de[10]_0,org4de[other]_0,org5de_0,org5de[other]_0,org6de[1]_0,org6de[2]_0,org6de[3]_0,org6de[4]_0,org6de[5]_0,org6de[6]_0,org6de[7]_0,org6de[other]_0,org7de_0,turnOver4zaf[1]_0,turnOver4zaf[2]_0,turnOver4zaf[3]_0,turnOver4zaf[4]_0,turnOver4zaf[other]_0,currentWork2_0,currentWork1_0,currentWork2qcl[1]_0,currentWork2qcl[2]_0,currentWork2qcl[3]_0,currentWork2qcl[4]_0,currentWork2qcl[other]_0,paper3mod_0,conf1can_0,conf2can_0,ref1uk_0,currentWork3nord_0,proj1can_0,stability1_0,stability2_0,proj8can_0,proj7can_0,proj4can[SQ001]_0,proj4can[SQ002]_0,proj4can[SQ003]_0,proj4can[SQ004]_0,proj4can[SQ006]_0,proj4can[SQ005]_0,proj4can[other]_0,proj5zaf[SQ001]_0,proj5zaf[SQ003]_0,proj5zaf[SQ004]_0,proj5zaf[SQ002]_0,proj5zaf[SQ005]_0,proj5zaf[other]_0,proj6zaf[1]_0,proj6zaf[2]_0,proj6zaf[3]_0,proj6zaf[4]_0,proj6zaf[5]_0,proj6zaf[6]_0,proj6zaf[7]_0,proj6zaf[8]_0,proj6zaf[9]_0,proj6zaf[10]_0,proj6zaf[11]_0,proj6zaf[other]_0,proj5can_0,proj5can[other]_0,train2_0,train4qzaf_0,train3_0,train4_0,train5[1]_0,train5[2]_0,train5[3]_0,train5[4]_0,train5[5]_0,train5[6]_0,train5[other]_0,fund3[1]_0,fund3[2]_0,fund3[3]_0,fund3[4]_0,fund3[5]_0,fund3[6]_0,fund3[7]_0,fund3[other]_0,fund1can_0,fund1can[other]_0,fund3qnl_0,fund1uk_0,fund1nord_0,tool5[SQ003]_0,tool5[SQ004]_0,tool5[SQ005]_0,tool5[SQ006]_0,tool5[SQ007]_0,tool5[SQ009]_0,tool5[other]_0,tool5can[1]_0,tool5can[2]_0,tool5can[3]_0,tool5can[4]_0,tool5can[5]_0,tool5can[6]_0,tool5can[7]_0,tool5can[8]_0,tool5can[9]_0,tool5can[other]_0,tool2_0,tool2[other]_0,tool4can[SQ001]_0,tool4can[SQ002]_0,tool4can[SQ003]_0,tool4can[SQ004]_0,tool4can[SQ005]_0,tool4can[SQ006]_0,tool4can[SQ007]_0,tool4can[SQ008]_0,tool4can[SQ009]_0,tool4can[SQ010]_0,tool4can[SQ011]_0,tool4can[SQ012]_0,tool4can[SQ013]_0,tool4can[SQ014]_0,tool4can[SQ015]_0,tool4can[SQ016]_0,tool4can[SQ017]_0,tool4can[SQ018]_0,tool4can[SQ019]_0,tool4can[SQ020]_0,tool4can[SQ021]_0,tool4can[SQ022]_0,tool4can[SQ023]_0,tool4can[SQ024]_0,tool4can[SQ025]_0,tool4can[SQ026]_0,tool4can[SQ027]_0,tool4can[SQ028]_0,tool4can[SQ029]_0,tool4can[SQ030]_0,tool4can[SQ031]_0,tool4can[SQ032]_0,tool4can[SQ033]_0,tool4can[SQ034]_0,tool4can[SQ035]_0,tool4can[SQ036]_0,tool4can[other]_0,ukrse3[1]_0,ukrse3[2]_0,ukrse3[3]_0,ukrse3[4]_0,ukrse3[5]_0,ukrse3[6]_0,ukrse3[other]_0,skillNord_0,skill2[SQ001]_0,skill2[SQ002]_0,skill2[SQ003]_0,genAI1_0,genAI2[1]_0,genAI2[2]_0,genAI2[3]_0,genAI2[4]_0,genAI2[5]_0,genAI2[6]_0,genAI2[other]_0,genAI3[1]_0,genAI3[2]_0,genAI3[3]_0,genAI3[4]_0,genAI3[5]_0,genAI3[6]_0,genAI3[7]_0,genAI3[other]_0,genAI4[SQ001]_0,genAI5[1]_0,genAI5[2]_0,genAI5[3]_0,genAI6_0,socio3_0,row_id,Year_0,likert2a[1]_0,likert2a[2]_0,open1can[SQ001]_0,likert2b[SQ001]_0,paper2mod[1]_0,paper2mod[2]_0,paper2mod[3]_0,paper2mod[4]_0,paper2mod[5]_0,currentEmp2q_0,edu1_0
184,,de-informal,956049621,2026-01-23 08:25:51,Germany,True,Computer science,2,False,15+,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Akademie,,,,,,,,,,,,,,,,,,,,,,University,,,,,,Arbeitsstellenleiter,,,Full Time,Fixed-term,,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,20%,20%,40%,0% (None at all),20%,20%,40%,20%,0% (None at all),20%,Agree,Agree,,,,Disagree,,Agree,Agree,Strongly disagree,Disagree,,,,,,,,,,,,,,I am undecided,False,True,True,True,True,False,True,True,True,False,,,,True,False,True,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_184,2026,,,,,,,,,,,Promotion/PhD
185,2026-01-23 08:38:14,en,2120563963,2026-01-23 08:27:22,Switzerland,True,Computer science,3,True,15+,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,Private Company,,Research Software Engineer,True,Lead Software Developer,Full Time,Permanent,,,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,,20%,20%,40%,20%,0% (None at all),40%,40%,0% (None at all),20%,0% (None at all),Agree,Agree,Neither agree or disagree,,,,,,Neither agree or disagree,Disagree,Agree,,,,Unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,False,False,,,,5-9,2-3,True,False,,False,False,True,False,True,False,,False,True,False,False,False,,False,False,True,True,True,True,False,False,False,False,False,,,,1-2,,,False,,,,,,,,,,,,,,,,,,,,,False,True,True,True,False,False,,,,,,,,,,,,macOS,,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,,False,True,False,True,False,False,,,Promote my work,Inter-group collaboration,,Daily,True,True,False,False,False,False,Writing documents in general,True,True,False,False,False,True,False,"Qwen, Deepseek",It will not significantly change demand for RSEs roles,Increase,Increase,Increase,have a good understanding of the task that is asked to the LLM so you understand when it gets off track,45 to 54 years,2026_185,2026,5.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,Ecole polytechnique fédérale de Lausanne EPFL,
186,,en,140477880,2026-01-23 08:32:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_186,2026,,,,,,,,,,,
187,2026-01-23 08:49:45,en,306570620,2026-01-23 08:34:43,Germany,True,Physical sciences,2,True,15+,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helmholtz Association of German Research Centres,,,,,,,,,,,,,,Helmholtz-Zentrum Hereon,,,,,,,,,Helmholtz Association of German Research Centres,,,,,,Wissenschaftlicher Mitarbeiter,True,Senior researcher,Full Time,Permanent,,,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True,,40%,20%,20%,20%,,40%,60%,,,,Agree,Agree,,,,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,"No, I think such an institution would be harmful",False,False,False,False,False,False,True,True,True,False,,A decentralized network of regional hubs without a central institution,,False,False,True,False,False,False,False,,,,,,,,True,Regularly change researcher(s),,,,,,True,False,,,,10-14,2-3,True,False,10.0,False,False,True,False,True,False,,True,True,False,True,False,,False,False,True,True,True,False,False,False,True,False,False,,No formal methodology,,1-2,,Local seminars,True,True,True,False,True,True,False,,True,False,True,False,False,False,False,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,macOS,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False,False,,,Leveraging cloud resources,Participatory (co-production) approaches to RS development,Hackathon management,Daily,True,True,True,True,False,False,,True,True,False,False,False,True,False,,It will not significantly change demand for RSEs roles,Increase,Increase,Increase,Comprehensive understanding of everything AI produced; multi-language experience; review and text creation experience,45 to 54 years,2026_187,2026,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,,Promotion/PhD
188,2026-01-23 09:20:30,en,887356571,2026-01-23 09:10:00,Switzerland,True,Bioinformatics,3,False,15+,True,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,University,,Scientific IT specialist,True,bioinformatician,Full Time,Permanent,,,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,,40%,20%,0% (None at all),20%,20%,40%,20%,,20%,20%,Agree,Agree,Neither agree or disagree,,,,,,Agree,Disagree,Disagree,,,,Very unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,True,True,"bioinformatic conferences: ECCB, ISMB",,,1-4,1,False,False,,False,True,False,False,False,False,,False,True,False,False,False,,False,False,False,True,True,False,True,False,False,False,False,,,,3-5,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,,False,True,False,False,False,False,,,git,requirements analysis,empathy,Daily,True,False,False,False,True,True,,True,False,False,False,True,True,False,,,Same,Increase,Same,,45 to 54 years,2026_188,2026,3.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,Eidgenössische Technische Hochschule Zürich ETH,
189,2026-01-23 09:28:46,en,1885758079,2026-01-23 09:13:30,Switzerland,True,Physical sciences,5 - Mostly other people,True,10,ORCID is not relevant for me,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,Private Company,,Software Engineer,False,,Full Time,Fixed-term,,2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,100% (All my time),0% (None at all),0% (None at all),0% (None at all),0% (None at all),80%,,20%,0% (None at all),0% (None at all),Strongly Agree,Strongly Agree,Agree,,,,,,Neither agree or disagree,Disagree,Agree,,,,Unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,False,True,SKACH Winter meeting,,,1-4,2-3,False,False,,False,False,True,False,True,False,,False,True,False,False,False,,False,False,True,True,True,False,False,True,False,False,False,,,,0,,,False,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,CUDA,False,True,False,True,False,True,,,Learn to use Gen AI tools to speed up coding and prototyping,"Packaging, containers, software distribuion",Improve CI/CD knowledge,Never,,,,,,,,,,,,,,,,It will reduce demand for RSE roles,Increase,Same,Decrease,"Software architecture, knowledge of design patterns, strong quality assurance",25 to 34 years,2026_189,2026,,,3.0,,,,,,,Eidgenössische Technische Hochschule Zürich ETH,
190,2026-01-23 09:24:22,en,429145996,2026-01-23 09:14:45,Switzerland,True,Physical sciences,2,False,6,True,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,University,,Phd student,,,Full Time,Fixed-term,,4.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,Computational material science,40%,60%,0% (None at all),0% (None at all),0% (None at all),60%,20%,20%,0% (None at all),0% (None at all),Agree,Disagree,Strongly disagree,,,,,,Strongly disagree,Strongly disagree,Neither agree or disagree,,,,Very likely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,True,True,"APS March meeting, Psi-k",,,1-4,1,False,False,,False,False,True,False,True,False,,False,True,False,False,False,,False,False,True,True,False,False,False,False,False,False,False,,,,0,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,True,,,,,,,,,,,,GNU/Linux,,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,True,True,True,True,,,"Soft skills, since all the positions I curently see are hiring from the network and has nothing to do with your coding skills",,,Daily,True,True,False,True,True,True,,True,False,False,False,False,True,False,,It will increase demand for RSE roles,Increase,Decrease,,Be aware of newest features in the AI community,25 to 34 years,2026_190,2026,5.0,5.0,5.0,,1.0,5.0,,,,Ecole polytechnique fédérale de Lausanne EPFL,
191,2026-01-23 11:20:30,en,1599302700,2026-01-23 09:16:04,United Kingdom,True,Mathematical sciences,5 - Mostly other people,True,15+,True,False,True,,,,True,True,False,False,True,"Representation to government, funders on the importance of research software professionals (in a broad sense, not just developers).",,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,Other,Self-employed,,,,,,,Associate Professor,True,Research Software Engineering Fellow,Full Time,Fixed-term,,5.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,,20%,,20%,20%,40%,20%,,20%,20%,40%,Agree,Neither agree or disagree,Disagree,,,,,,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,True,True,"useR!, posit::conf, LatinR, European R Users Meeting, NHS-R, RencontresR, uRos, RSS, JSM, COMPSTAT, Australasian Region Biometrics Conference, International Workshop on Statistical Modelling, International Conference of the ERCIM Working Group on Computational and Methodological Statistics, Collaborations Workshop, ",False,,1-4,4-5,False,,,False,False,True,False,True,False,,False,True,False,True,False,,False,False,False,True,True,False,False,True,False,False,False,,,,1-2,,"University workshops, conference tutorials, online community workshops",True,True,False,False,False,False,False,,False,True,True,False,False,False,False,,,,,True,,False,False,False,True,False,False,,,,,,,,,,,,macOS,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,True,False,True,False,False,,,Advanced C programming,Managing large software projects,Managing many projects,Daily,True,False,False,False,True,True,,True,False,False,False,False,False,False,,It will not significantly change demand for RSEs roles,Same,Same,Same,"understanding how to test prototype code, fact checking, understanding of at least one programming language in depth",45 to 54 years,2026_191,2026,,4.0,5.0,4.0,,,,4.0,2.0,"University of Warwick, Coventry",PhD
192,2026-01-23 09:37:30,en,298146539,2026-01-23 09:28:07,Switzerland,True,Computer science,3,True,13,True,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,University,,Systems Engineer,,,Full Time,Fixed-term,,2.0,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,40%,20%,0% (None at all),0% (None at all),40%,40%,20%,0% (None at all),20%,20%,Strongly Agree,Strongly Agree,Agree,,,,,,Strongly Agree,Strongly Agree,Neither agree or disagree,,,,Unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,True,False,,,,1-4,1,True,False,,False,True,True,False,True,False,,False,True,False,True,False,,False,True,True,True,True,False,True,True,False,False,False,Gitea,,,0,,,False,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,,,,,,,,,,,,GNU/Linux,,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Shell,False,True,True,True,True,True,,,monitoring/metrics collection (Grafana?),DIRK or similar batch job specification tools,,Weekly,False,False,False,False,False,True,,True,True,False,False,False,True,False,Mistral,It will not significantly change demand for RSEs roles,Same,Same,Same,"actual software engineering skills, generative AIs are good for prototyping fast, but they cannot every understand the context of where the software will be used, this requires careful design through software development/engineering designs.",25 to 34 years,2026_192,2026,4.0,1.0,4.0,1.0,,1.0,2.0,2.0,1.0,,
193,2026-01-23 09:49:12,en,486965143,2026-01-23 09:30:26,Switzerland,True,Physical sciences,5 - Mostly other people,True,15+,True,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,Private Company,,IT Specialist,False,,Full Time,Permanent,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,40%,0% (None at all),0% (None at all),0% (None at all),60%,80%,0% (None at all),0% (None at all),0% (None at all),20%,Agree,Agree,Agree,,,,,,,Strongly disagree,,,,,Very unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,False,False,,,,1-4,1,False,False,,False,True,True,False,False,False,,False,True,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,,,,1-2,,,False,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,Embedded system,,,,,,,,,,,GNU/Linux,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False,True,Attending training courses while previously employed in private industry,,VHDL / Verilog,How to deal with people who aren't team players,In-depth Linux system administration,Never,,,,,,,,,,,,,,,,It will not significantly change demand for RSEs roles,Increase,Same,Same,,55 to 64 years,2026_193,2026,3.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,Universität Zürich UZH,
194,2026-01-23 09:46:45,en,1953752647,2026-01-23 09:35:52,Germany,True,Engineering and technology,4,False,7,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,IT Admin,False,,Part-time,Permanent,,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,40%,20%,0% (None at all),0% (None at all),40%,60%,0% (None at all),0% (None at all),0% (None at all),40%,Agree,Neither agree or disagree,,,,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,,,,,,,,,,,,,,"Yes, I don't see a specific demand but believe it to be beneficial",True,True,True,False,False,False,False,False,False,False,,Not sure,,False,False,False,False,False,False,False,,,,,,,,True,Regularly change researcher(s),,,,,,False,False,,,,1-4,2-3,True,False,0.0,False,False,True,False,False,False,,False,True,False,False,False,,False,False,True,True,True,False,False,False,False,False,False,,No formal methodology,,0,,,False,,,,,,,,True,False,False,False,False,False,False,,,,,,,False,False,True,True,False,False,,,,,,,,,,,,Windows,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,,,,,,Weekly,True,False,False,False,False,False,,True,False,False,False,True,False,False,,It will reduce demand for RSE roles,Increase,Decrease,Decrease,,35 to 44 years,2026_194,2026,5.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Technical University of Berlin,Undergraduate degree
195,2026-01-23 10:13:40,en,1844587009,2026-01-23 09:50:20,Switzerland,False,Computer science,,True,15+,ORCID is not relevant for me,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,,,,,,,,,,,,,,,,,,,,,,,,University,,System specialist / software engineering,,,Full Time,Fixed-term,,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,100% (All my time),0% (None at all),0% (None at all),0% (None at all),0% (None at all),60%,20%,0% (None at all),0% (None at all),20%,Neither agree or disagree,Neither agree or disagree,Disagree,,,,,,Strongly Agree,Disagree,Neither agree or disagree,,,,Neither likely or unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,False,,,,,1-4,2-3,,True,,False,False,True,True,True,False,,False,True,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,,,,1-2,,,False,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,True,True,False,False,,,Machine Learning,,,Weekly,True,False,False,False,False,False,,True,False,False,False,False,False,False,,It will not significantly change demand for RSEs roles,Increase,Increase,Increase,"LLM knowledge, quick reading",35 to 44 years,2026_195,2026,,,5.0,1.0,3.0,3.0,,1.0,1.0,Eidgenössische Technische Hochschule Zürich ETH,
196,2026-01-23 11:00:16,en,1462619369,2026-01-23 10:33:40,Denmark,True,Computer science,4,True,15+,True,False,False,True,,,True,True,True,True,False,,,,,,True,True,False,True,False,False,True,,False,True,True,False,True,False,True,False,False,True,,University,,,,,,,,,,,,,,,,,,,,,,,National laboratory,,,,,,,,Special Consultant - Research Software Engineer,False,,Full Time,Fixed-term,,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,60%,20%,,,20%,60%,20%,,,20%,Strongly Agree,Strongly Agree,,Strongly disagree,Agree,,,,Strongly Agree,Strongly disagree,Neither agree or disagree,Agree,Strongly disagree,Strongly disagree,Neither likely or unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Same researcher(s),True,False,False,False,,False,False,,,"No, because I don't have the time",1-4,1,False,False,,False,True,True,False,False,False,Peer review through pull requests,False,True,False,False,False,,False,False,False,True,False,False,False,True,False,False,True,,,,1-2,,Local training for students as part of a course,True,False,False,True,False,False,False,,False,True,False,False,False,False,False,,,,,,I don't know,False,True,True,True,False,False,,,,,,,,,,,,macOS,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,,True,True,True,False,False,True,,"Yes, but only in weeks with a low workload",Utilizing AI in developing and testing,Better networking skills ,Better academic skills in regards to publishing papers,Daily,True,True,False,True,True,False,Helping navigate (to me) foreign large code bases ,True,True,False,False,False,True,False,,It will not significantly change demand for RSEs roles,Increase,Increase,Same,"LLM knowledge, previous coding experience, critical sense, notion of basic security caveats, knowledge about HPC, knowledge about cloud platforms",45 to 54 years,2026_196,2026,5.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,2.0,,Masters Degree
197,2026-01-23 12:05:25,en,1403240737,2026-01-23 10:41:20,Germany,True,Computer science,5 - Mostly other people,True,15+,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Planck Society,,,,,,,,,,,,,,,,,Max Planck Institute for Evolutionary Anthropology,,,,,,Max Planck Society,,,,,,Programmer,False,,Full Time,Permanent,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,100% (All my time),0% (None at all),0% (None at all),0% (None at all),0% (None at all),80%,,,20%,,Agree,Agree,,,,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,"Yes, I see some demand",False,False,True,False,True,False,False,False,False,True,,A central institute with several fixed locations,,False,False,True,False,False,True,False,,,,,,,,True,Same researcher(s),,,,,,True,,,,,1-4,1,False,False,100.0,False,True,True,False,False,False,,False,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,mattermost,Waterfall,,1-2,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,False,False,True,False,False,False,,,,,,,,,,,,GNU/Linux,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,False,False,True,,,CI/CD,Formal use of project managment software,Proper DB management,Weekly,False,True,False,True,False,False,,True,False,False,False,False,False,False,,It will not significantly change demand for RSEs roles,Increase,Same,Same,"Coding, Debugging, mastering version control system",35 to 44 years,2026_197,2026,5.0,,5.0,1.0,,,3.0,3.0,,,Masters Degree
