,Year_0,row_id,skill2
485,2026,2026_485,Requirement Engineering Methology
487,2026,2026_487,"Code testing (unit tests, continuous integration)"
488,2026,2026_488,1. Use of git
489,2026,2026_489,Rust
496,2026,2026_496,Modularity
501,2026,2026_501,HPC
503,2026,2026_503,Leadership
506,2026,2026_506,Management skills
511,2026,2026_511,Deeper understanding of large language models / foundation models / agentic AI
512,2026,2026_512,Language Technology
515,2026,2026_515,How to set up a server
516,2026,2026_516,negotiation
520,2026,2026_520,stakeholder management / communication
521,2026,2026_521,Low level language like Rust
522,2026,2026_522,testing
523,2026,2026_523,communication
533,2026,2026_533,Better management of people's expectations
534,2026,2026_534,project management
537,2026,2026_537,CI/CD
541,2026,2026_541,"communication (why and how ""my"" software improves others work experience)"
542,2026,2026_542,better time management
543,2026,2026_543,DevOps
544,2026,2026_544,Academic Writing
545,2026,2026_545,Linux administration
547,2026,2026_547,Cloud-related skills
549,2026,2026_549,Kommunikationsfähigkeiten
550,2026,2026_550,More knowledge of python (I use it very little)
552,2026,2026_552,Communication and planning
554,2026,2026_554,Uso Github en colaboracion publicaciones
557,2026,2026_557,"Best practices in software engineering (transferable code, up to industry standards)"
558,2026,2026_558,Project management
570,2026,2026_570,More structured utilisation of LLM resources
571,2026,2026_571,Automated and formal testing
572,2026,2026_572,software development
573,2026,2026_573,AI agentic coding
582,2026,2026_582,A more performant language (e.g. Rust)
589,2026,2026_589,Time & workload estimation
590,2026,2026_590,Teaching/Training
591,2026,2026_591,Software development
593,2026,2026_593,Cloud computing
597,2026,2026_597,DevOps Engineering
603,2026,2026_603,Geschäftstüchtigkeit/Gründermentalität
606,2026,2026_606,Softwareprojektmanagement
613,2026,2026_613,Deepen the general knowledge on broader software architecture
616,2026,2026_616,Advanced CI/CD using templates
617,2026,2026_617,CI/CD
620,2026,2026_620,project management
622,2026,2026_622,Machine Learning
624,2026,2026_624,Trainings
625,2026,2026_625,Software metrics
628,2026,2026_628,runtime optimization
629,2026,2026_629,Operating Systems Design
634,2026,2026_634,none
635,2026,2026_635,Planen der SW Architektur
636,2026,2026_636,Containerization
644,2026,2026_644,additional language with object oriented environment
645,2026,2026_645,Research 
655,2026,2026_655,"soft skills (project management, staff management)"
658,2026,2026_658,Design patterns
663,2026,2026_663,Coding
667,2026,2026_667,ML
668,2026,2026_668,Talking about what I do in addition to actually doing it.
671,2026,2026_671,Networking skills
674,2026,2026_674,Software Testing & Engineering Best Practices
678,2026,2026_678,C++
679,2026,2026_679,Understanding of memory management and performance testing
680,2026,2026_680,Communication
683,2026,2026_683,Lower-Level Programming
685,2026,2026_685,Thinking outside the box
688,2026,2026_688,Effective communication during meetings
689,2026,2026_689,Managing a team
690,2026,2026_690,Assembly
691,2026,2026_691,Sales
694,2026,2026_694,Networking to work collaboratively with a consortium that is / can be recognized with longer term federal funding
696,2026,2026_696,"Container deployment (i.e Kubernetes, OKD, etc)"
701,2026,2026_701,Estimation
704,2026,2026_704,Design patterns for computational science and scientific software
705,2026,2026_705,Leadership/Strategy
707,2026,2026_707,continuous integration testing
708,2026,2026_708,Sales in Higher Education
709,2026,2026_709,Cloud/High Performance Computing
711,2026,2026_711,Numerical computing
716,2026,2026_716,Project Management
718,2026,2026_718,Software architecture
719,2026,2026_719,DevOps Engineer
721,2026,2026_721,More and better AI tooling
723,2026,2026_723,story telling - way easier to communicate with people via stories
724,2026,2026_724,Security skills for mobile applications
730,2026,2026_730,"Acceleration modules and languages (Dask, Cuda, MyPyC, etc.)"
731,2026,2026_731,"To get a ""real"" job I would probably have to learn to use an AI coding assistant"
732,2026,2026_732,difusión de productos
737,2026,2026_737,Web Development Security Principles
741,2026,2026_741,Rust
744,2026,2026_744,Project Management
746,2026,2026_746,Aquitectura de software
747,2026,2026_747,Test-driven development
749,2026,2026_749,How to use AI effectively
750,2026,2026_750,Learn object oriented programming
751,2026,2026_751,Version control
753,2026,2026_753,Project Management
755,2026,2026_755,Marketing
759,2026,2026_759,How to convince management to invest in paying down technical debt.
764,2026,2026_764,Network engineering
769,2026,2026_769,Management 
770,2026,2026_770,Modern collaborative software practices
773,2026,2026_773,C++ programming
775,2026,2026_775,Professional Software Development
776,2026,2026_776,deployment / delivery / documentation
779,2026,2026_779,UX / UI design
782,2026,2026_782,project management
785,2026,2026_785,Asking the right questions
793,2026,2026_793,Collaborative coding
801,2026,2026_801,Software optimization
802,2026,2026_802,ML/AI for research
804,2026,2026_804,Strategy
805,2026,2026_805,Better understanding of Python
810,2026,2026_810,Low level computing
811,2026,2026_811,"Self/small group Project Management (tools, architecture design, how delegate tasks)"
815,2026,2026_815,React
816,2026,2026_816,project management
817,2026,2026_817,Code testing
818,2026,2026_818,C++
821,2026,2026_821,Being more efficient at grant proposal writing
823,2026,2026_823,User interface design
826,2026,2026_826,Advanced Software Architecture and Scalable System Design
829,2026,2026_829,"best practices used in commercial software development (CI/CD, testing, reliability engineering, scalability)"
831,2026,2026_831,Agentic loops
840,2026,2026_840,machine learning
841,2026,2026_841,CI/CD
842,2026,2026_842,using AI to generate code
856,2026,2026_856,Adjust chair for comfortable sitting
857,2026,2026_857,Having more time
861,2026,2026_861,How to stay relevant as the world loses its mind over AI while I retain fundamental objections to it
868,2026,2026_868,C++
869,2026,2026_869,Didactic skills
870,2026,2026_870,software engineering skills 
871,2026,2026_871,Agentic AI
873,2026,2026_873,High-Performance and Parallel Computing
874,2026,2026_874,Project Management
876,2026,2026_876,More basics of computer science
877,2026,2026_877,Colaboración efectiva
878,2026,2026_878,Parallel Programming 
881,2026,2026_881,Software Architecture
882,2026,2026_882,Automated testing CI/CD
883,2026,2026_883,project/time management
886,2026,2026_886,Creative coding
887,2026,2026_887,better project management skills
891,2026,2026_891,legal aspects
892,2026,2026_892,GPU programming
895,2026,2026_895,version control
896,2026,2026_896,Project management
897,2026,2026_897,Projektmanagement
898,2026,2026_898,Unit testing
902,2026,2026_902,Project management
903,2026,2026_903,Low-level CPU hardware understanding
904,2026,2026_904,better integration w AI
905,2026,2026_905,Coding with AI
907,2026,2026_907,rust development
910,2026,2026_910,Being more effective with outreach
924,2026,2026_924,RSE Vocabulary
926,2026,2026_926,CI and proper testing frameworks
927,2026,2026_927,Management
928,2026,2026_928,Python ecosystem knowledge (package managers etc)
929,2026,2026_929,Practical HPC GPU development
932,2026,2026_932,GPU programming using rust
934,2026,2026_934,Mathematics
939,2026,2026_939,Test-driven development
940,2026,2026_940,Rust proficiency
943,2026,2026_943,Stakeholder management/product ownership
944,2026,2026_944,Performance Optimization using Intermediate Representation Compilers
946,2026,2026_946,Project management 
947,2026,2026_947,use of AI assistant
948,2026,2026_948,GPU support
949,2026,2026_949,deeper knowledge of underlying infrastructure
950,2026,2026_950,javascript
954,2026,2026_954,The Ops part of DevOps
955,2026,2026_955,Optimierung von Programmlaufzeit
956,2026,2026_956,Project management
959,2026,2026_959,LLM-assisted development
963,2026,2026_963,"better understanding of how to do things ""properly"""
967,2026,2026_967,Learning new programming languages
969,2026,2026_969,Project Management
971,2026,2026_971,DevOps
973,2026,2026_973,Scaling up applications to be production ready for heavier loads than what currently I develop for
975,2026,2026_975,Machine learning
976,2026,2026_976,Julia
978,2026,2026_978,Code sustainability 
979,2026,2026_979,systems architecture/design
982,2026,2026_982,Analytics
986,2026,2026_986,Rust Fluency
987,2026,2026_987,Foundational programming
991,2026,2026_991,Time management
1000,2026,2026_1000,Grant writing
1004,2026,2026_1004,Unit testing
1007,2026,2026_1007,AI tools like Claude and Codex
1008,2026,2026_1008,"Formal algorithmic and data structure education, mainly for optimization/efficiency improvements"
1010,2026,2026_1010,readability of code; how to make it human-understandable; and how to make my collegueas implementing this
1011,2026,2026_1011,leveraging AI / LLMs / MCP in the software we develop and deploy
1012,2026,2026_1012,"Advanced unit testing -- mocking frameworks, etc."
1014,2026,2026_1014,Software Design 
1015,2026,2026_1015,Formal testing methodology
1017,2026,2026_1017,Kubernetes
1023,2026,2026_1023,AI
1027,2026,2026_1027,Software Architecture
1030,2026,2026_1030,"improve knowledge about system architecture, HPC, containerization"
1036,2026,2026_1036,Contenedores docker
1038,2026,2026_1038,Better domain knowledge on long-term projects
1044,2026,2026_1044,Agentic AI
1045,2026,2026_1045,AI assisted coding (e.g. Claude)
1046,2026,2026_1046,Project management
1048,2026,2026_1048,Broadening funding base
1050,2026,2026_1050,cross platform packaging
1052,2026,2026_1052,project management
1055,2026,2026_1055,Issue triage and management
1056,2026,2026_1056,Slurm
1058,2026,2026_1058,Project Management
1065,2026,2026_1065,Project management
1069,2026,2026_1069,project management
1077,2026,2026_1077,Rust
1080,2026,2026_1080,Management skills
1082,2026,2026_1082,Statistical Learning
1085,2026,2026_1085,Machine learning and forecasting
1086,2026,2026_1086,Better communication of basic principles 
1088,2026,2026_1088,How to think about software architecture more
1091,2026,2026_1091,neural nets
1092,2026,2026_1092,Project and time management
1093,2026,2026_1093,Project management
1094,2026,2026_1094,newest C++ features
1101,2026,2026_1101,"low level GPU programming, such as CUDA/HIP, OpenACC/OpenMP off-loading"
1103,2026,2026_1103,UX/UI research
1106,2026,2026_1106,Financial Intelligence for Research & Software Sustainability
1109,2026,2026_1109,Use of AI tools
1110,2026,2026_1110,GPU programming
1112,2026,2026_1112,Aws
1113,2026,2026_1113,profiling code both CPU and GPU
1114,2026,2026_1114,"Software architecture, especially for research projects"
1115,2026,2026_1115,Binary fission
1118,2026,2026_1118,HPC
1119,2026,2026_1119,Idk
1124,2026,2026_1124,Better at python
1125,2026,2026_1125,Architecture
1126,2026,2026_1126,Continuous Integration and Testing
1127,2026,2026_1127,Software Architecture
1128,2026,2026_1128,security engineering
1129,2026,2026_1129,DevOps
1131,2026,2026_1131,Project Management
1132,2026,2026_1132,to be more proficient in testing
1133,2026,2026_1133,Use AI safely
1134,2026,2026_1134,Utilizing AI agents
1135,2026,2026_1135,AI usage
1137,2026,2026_1137,Modern JavaScript
1138,2026,2026_1138,Working with AI tools
1143,2026,2026_1143,Software architecture
1144,2026,2026_1144,"Efficiently managing research software projects, prioritisation of tasks for most impact of research software"
1149,2026,2026_1149,Ressourcenmanagement
1150,2026,2026_1150,Workflow management tools like Snakemake
1151,2026,2026_1151,Integration of AI tools
1153,2026,2026_1153,Scalable cloud/distributed systems
1154,2026,2026_1154,Metodologías para coordinar equipos de trabajo ya que creo que sería más fácil trabajar con otras personas en equipo
1155,2026,2026_1155,Julia
1156,2026,2026_1156,project manangement
1157,2026,2026_1157,sell yourself better
1159,2026,2026_1159,AI‑enhanced software engineering
1161,2026,2026_1161,Better coding knowledge.
1162,2026,2026_1162,KI als Hilfe in SE
1172,2026,2026_8,Software development lifecycle
1173,2026,2026_9,Rust
1174,2026,2026_10,Grant-writing
1177,2026,2026_13,Project management
1181,2026,2026_17,Self-accountability
1182,2026,2026_18,People management
1185,2026,2026_21,Grant writing
1187,2026,2026_23,Linear algebra
1188,2026,2026_24,Structural biology
1191,2026,2026_27,Teaching software engineering
1193,2026,2026_29,Advanced infrastructure as code: Helm charts and Ansible
1196,2026,2026_32,Go
1198,2026,2026_34,Contract negotiations
1199,2026,2026_35,Despliegue de modelos y herramientas de análisis en entornos web para facilitar su reutilización por personas no técnicas.
1204,2026,2026_40,software design process and principles
1209,2026,2026_45,Arquitectura serverless
1210,2026,2026_46,orchestration 
1212,2026,2026_48,Observability
1213,2026,2026_49,Web development
1218,2026,2026_54,Working with User Interface toolkits
1223,2026,2026_59,documentation generation
1224,2026,2026_60,More on the configuration of local servers/clusters
1230,2026,2026_66,Version Control
1232,2026,2026_68,c++
1234,2026,2026_70,Better programming
1237,2026,2026_73,project managing
1241,2026,2026_77,"Know how to free time slots to work practical, to gain experience, to be a better teacher"
1245,2026,2026_81,Formale Begriffe des Softwaretestings
1246,2026,2026_82,User-driven testing and observations
1248,2026,2026_84,System design
1251,2026,2026_87,Test writing
1252,2026,2026_88,AI Assistants
1253,2026,2026_89,Software develoment using AI assistant 
1254,2026,2026_90,Leadership
1255,2026,2026_91,AI and ML
1256,2026,2026_92,documentation
1257,2026,2026_93,AI agent management
1258,2026,2026_94,Expectation Management
1265,2026,2026_101,IT security
1269,2026,2026_105,profiling and engineering for performance / optimization
1271,2026,2026_107,High-level Synthesis for FPGAs
1272,2026,2026_108,Better project management
1273,2026,2026_109,GPU programming and performance engineering (beyond numba/cupy/torch/...)
1282,2026,2026_118,"Teaching, developing content for longer courses versus one-shot tutorials"
1283,2026,2026_119,Create LaTeX graphics with TikZ
1286,2026,2026_122,Container
1289,2026,2026_125,requirements engineering
1291,2026,2026_127,Automatic Testing
1292,2026,2026_128,Project management
1294,2026,2026_130,Project management
1296,2026,2026_132,proper use of LLM tools
1297,2026,2026_133,GPU programming
1298,2026,2026_134,"Python tools to tidy up repository / add READMEs, docstrings and comments (e.g. with an LLM, but with human oversight)"
1300,2026,2026_136,Ethical use of AI tools
1304,2026,2026_140,Language server protocol (LSP)
1306,2026,2026_142,Planning
1308,2026,2026_144,Differentiable programming
1309,2026,2026_145,Software development best practices
1310,2026,2026_146,Bonnes pratiques de maintenance
1311,2026,2026_147,Automatisiertes Testen
1312,2026,2026_148,Have my project management experience recognized
1315,2026,2026_151,Typescript
1318,2026,2026_154,Workflow management skills
1321,2026,2026_157,formal testing
1328,2026,2026_164,User experience versus scalable code
1332,2026,2026_168,Kollaborations-Modelle
1334,2026,2026_170,Continuous integration
1345,2026,2026_181,Coding
1349,2026,2026_185,Inter-group collaboration
1351,2026,2026_187,Participatory (co-production) approaches to RS development
1352,2026,2026_188,requirements analysis
1353,2026,2026_189,"Packaging, containers, software distribuion"
1355,2026,2026_191,Managing large software projects
1356,2026,2026_192,DIRK or similar batch job specification tools
1357,2026,2026_193,How to deal with people who aren't team players
1360,2026,2026_196,Better networking skills 
1361,2026,2026_197,Formal use of project managment software
1367,2026,2026_203,consultancy
1368,2026,2026_204,embedded with Rust
1369,2026,2026_205,Rust
1373,2026,2026_209,Better understanding of hardware
1375,2026,2026_211,Communication Skills
1376,2026,2026_212,Project resilience to personnal shifts
1381,2026,2026_217,rust
1383,2026,2026_219,Physics
1385,2026,2026_221,rust
1386,2026,2026_222,improve my communication
1388,2026,2026_224,GitHub
1392,2026,2026_228,Effective and ethical use of LLM coding agents (presuming they might be useful for something)
1395,2026,2026_231,Software Carpentry
1400,2026,2026_236,Presentation skills
1402,2026,2026_238,Organise myself better
1403,2026,2026_239,Project management
1407,2026,2026_243,Kubernetes
1413,2026,2026_249,Funding RSE projects
1427,2026,2026_263,"Know the tools available (git, HPC, ...)"
1428,2026,2026_264,Separating evironments and running tests with big data
1432,2026,2026_268,angular like for web
1434,2026,2026_270,A more formal approach to distributed software design
1435,2026,2026_271,Shiny
1436,2026,2026_272,Git based collaborative software development
1439,2026,2026_275,Expanding to other languages
1443,2026,2026_279,mentoring more junior colleagues
1445,2026,2026_281,"Better prioritisation skills / ability to target a ""good enough"" output earlier"
1446,2026,2026_282,Programming Shiny
1450,2026,2026_286,Improve communication with PIs
1453,2026,2026_289,"Experience with professional code production, e.g. in a software company"
1460,2026,2026_296,devops tools
1462,2026,2026_298,Improve knowledge of my main programming language
1468,2026,2026_304,code optimisation (How do I know if the bottleneck can be improved? or when is it fast enough?)
1470,2026,2026_306,Rust
1471,2026,2026_307,Rust
1483,2026,2026_319,Increased use of AI
1486,2026,2026_322,Building Code all alone
1489,2026,2026_325,containerisation
1490,2026,2026_326,Testing
1492,2026,2026_328,Fortgeschrittenes Benchmarking von Software
1494,2026,2026_330,GPU programming
1495,2026,2026_331,Documentation management
1498,2026,2026_334,CI/CD pipelines
1504,2026,2026_340,SQL
1505,2026,2026_341,kubernetes
1507,2026,2026_343,How to train large neural networks
1508,2026,2026_344,Golang
1510,2026,2026_346,Research device documentation
1513,2026,2026_349,GPU Programming
1514,2026,2026_350,Embedded software engineering
1515,2026,2026_351,Linux development and CLI
1516,2026,2026_352,Team management
1517,2026,2026_353,Advanced object oriented programming
1519,2026,2026_355,Profiling and Performance Optimisation
1520,2026,2026_356,Kubernetes
1522,2026,2026_358,paralellization (in-depth)
1523,2026,2026_359,Planning/organisation
1527,2026,2026_363,agentic coding
1529,2026,2026_365,Algorithm assessment
1530,2026,2026_366,Research Skills
1537,2026,2026_373,3D game engine programming
1541,2026,2026_377,Recruiting contributors
1543,2026,2026_379,Research skills required 
1546,2026,2026_382,writing software papers
1551,2026,2026_387,Writing papers about my software
1552,2026,2026_388,Vibe coding
1555,2026,2026_391,UX Design
1558,2026,2026_394,"parallel management of multiple interconnected open-source projects (which is typical in academic research, especially within collaborations)"
1559,2026,2026_395,statistical methods
1560,2026,2026_396,GPU programming 
1569,2026,2026_405,"Aprender sobre cómo diseñar código a nivel avanzado (cómo estructurar un módulo, decisiones a la hora de crear paquetes, ...)"
1572,2026,2026_408,Accounting
1577,2026,2026_413,C++
1579,2026,2026_415,GUI development
1582,2026,2026_418,Clean Coding
1585,2026,2026_421,weitere GPU skills
1586,2026,2026_422,Software design
1588,2026,2026_424,OS details
1595,2026,2026_431,effective AI use
1598,2026,2026_434,Höheres Maß an Sicherheit (im Sinne von Cyber-Security)
1604,2026,2026_440,Working with Databases
1606,2026,2026_442,Time management
1607,2026,2026_443,python
1612,2026,2026_448,CRAN compliance
1615,2026,2026_451,Research Software Dissemination
1617,2026,2026_453,Cloud-technologien
1620,2026,2026_456,Delegation
1622,2026,2026_458,estadistica
1623,2026,2026_459,CI
1624,2026,2026_460,Image and video processing 
1625,2026,2026_461,Interfaces graphiques
1632,2026,2026_468,User Experience Design
1634,2026,2026_470,Linux
1635,2026,2026_471,UI/UX design
1636,2026,2026_472,Software Architecture
1638,2026,2026_474,"I would love to extend my knowledge about physics, especiially optics and all phenomenoms relating to electron magnetism. Also other aspects of physics that are relevant to undersand everthing around synchrotrons are of intereset."
1642,2026,2026_478,automation
1646,2026,2026_482,Project management
1648,2026,2026_484,C++ language
1649,2026,2026_485,User management and interaction: 
1651,2026,2026_487,"Outreach, community building"
1652,2026,2026_488,2. Improve C++
1660,2026,2026_496,Licenses
1665,2026,2026_501,ML/AI
1667,2026,2026_503,Change management
1675,2026,2026_511,Better code and system security knowledge and skills
1676,2026,2026_512,Backend development
1679,2026,2026_515,Docker
1680,2026,2026_516,time management
1684,2026,2026_520,"AI assisted code management (testing, refactoring)"
1685,2026,2026_521,Software achitecture patterns
1686,2026,2026_522,project management
1687,2026,2026_523,coding
1697,2026,2026_533,Better estimate of how long work will take
1698,2026,2026_534,python
1701,2026,2026_537,Agentic coding
1705,2026,2026_541,methodology for agile multiproject management
1708,2026,2026_544,Business management
1709,2026,2026_545,C++
1711,2026,2026_547,AI/ML
1713,2026,2026_549,System-Engineering
1714,2026,2026_550,Collaboration tools
1716,2026,2026_552,Atmospheric science basics
1721,2026,2026_557,Deploying applications and security around it
1722,2026,2026_558,Professional writing
1734,2026,2026_570,Better utilisation of distributed compute and orchestration frameworks such as Ray and/or Dask 
1735,2026,2026_571,Git pre-commit checks
1736,2026,2026_572,teaching skills
1737,2026,2026_573,Containers
1746,2026,2026_582,Containerisation (e.g. Docker)
1757,2026,2026_593,AI
1761,2026,2026_597,Machine Learning
1767,2026,2026_603,Team- und Communitybuilding
1770,2026,2026_606,Agile Methoden
1777,2026,2026_613,Deeper knowledge of performance optimizations
1780,2026,2026_616,AI in RSE proficiency (we all stumble along as best as we can here)
1781,2026,2026_617,Low-level programming in C/C++
1784,2026,2026_620,clean code in long term project 
1786,2026,2026_622,Data Science
1788,2026,2026_624,Networking
1789,2026,2026_625,Software architecture
1792,2026,2026_628,legal knowledge
1793,2026,2026_629,Formale Methoden
1798,2026,2026_634,none
