,socio1_0,socio4qde_0,socio4qnl_0,socio4quk_0,socio4qus_0,socio4qzaf_0,socio4qnzl_0,socio4qaus_0
335,Germany,Between 66.000 and 76.999 EUR,,,,,,
336,Germany,Between 55.000 and 65.999 EUR,,,,,,
337,Germany,Between 50.000 and 54.999 EUR,,,,,,
338,Germany,Between 55.000 and 65.999 EUR,,,,,,
339,Germany,Between 66.000 and 76.999 EUR,,,,,,
340,Germany,Between 55.000 and 65.999 EUR,,,,,,
342,Germany,Between 66.000 and 76.999 EUR,,,,,,
344,Germany,Between 55.000 and 65.999 EUR,,,,,,
345,Germany,Between 33.000 and 38.499 EUR,,,,,,
347,Germany,Between 33.000 and 38.499 EUR,,,,,,
348,Germany,Between 33.000 and 38.499 EUR,,,,,,
349,Germany,Between 50.000 and 54.999 EUR,,,,,,
350,Germany,Between 50.000 and 54.999 EUR,,,,,,
351,Germany,Between 55.000 and 65.999 EUR,,,,,,
352,Germany,Between 38.500 and 43.999 EUR,,,,,,
353,Germany,Less than 27.499 EUR,,,,,,
354,Germany,Between 66.000 and 76.999 EUR,,,,,,
355,Germany,Between 55.000 and 65.999 EUR,,,,,,
356,Germany,Between 50.000 and 54.999 EUR,,,,,,
357,Germany,Between 50.000 and 54.999 EUR,,,,,,
358,Germany,Between 55.000 and 65.999 EUR,,,,,,
359,Germany,Between 27.500 and 32.999 EUR,,,,,,
360,Germany,Between 77.000 and 109.999 EUR,,,,,,
361,Germany,Between 33.000 and 38.499 EUR,,,,,,
362,Germany,Between 55.000 and 65.999 EUR,,,,,,
363,Germany,Between 55.000 and 65.999 EUR,,,,,,
364,Germany,Between 77.000 and 109.999 EUR,,,,,,
365,Germany,Between 66.000 and 76.999 EUR,,,,,,
367,Germany,Between 55.000 and 65.999 EUR,,,,,,
369,Germany,Between 77.000 and 109.999 EUR,,,,,,
370,Germany,Between 38.500 and 43.999 EUR,,,,,,
371,Germany,Between 55.000 and 65.999 EUR,,,,,,
373,Germany,Between 33.000 and 38.499 EUR,,,,,,
374,Germany,Between 66.000 and 76.999 EUR,,,,,,
376,Germany,Between 55.000 and 65.999 EUR,,,,,,
377,Germany,Between 77.000 and 109.999 EUR,,,,,,
378,Germany,Between 66.000 and 76.999 EUR,,,,,,
379,Germany,Between 66.000 and 76.999 EUR,,,,,,
380,Germany,Between 55.000 and 65.999 EUR,,,,,,
382,Germany,Less than 27.499 EUR,,,,,,
383,Germany,Between 66.000 and 76.999 EUR,,,,,,
385,Germany,Between 55.000 and 65.999 EUR,,,,,,
386,Germany,Less than 27.499 EUR,,,,,,
387,Germany,Between 77.000 and 109.999 EUR,,,,,,
389,Germany,Less than 27.499 EUR,,,,,,
391,Germany,Between 55.000 and 65.999 EUR,,,,,,
392,Germany,Between 44.000 and 49.999 EUR,,,,,,
393,Germany,Between 50.000 and 54.999 EUR,,,,,,
394,Germany,Between 55.000 and 65.999 EUR,,,,,,
395,Germany,Between 55.000 and 65.999 EUR,,,,,,
396,Germany,Between 50.000 and 54.999 EUR,,,,,,
398,Germany,Between 55.000 and 65.999 EUR,,,,,,
400,Germany,Between 66.000 and 76.999 EUR,,,,,,
401,Germany,Between 77.000 and 109.999 EUR,,,,,,
402,Germany,Between 33.000 and 38.499 EUR,,,,,,
403,Germany,Between 38.500 and 43.999 EUR,,,,,,
405,Germany,Between 66.000 and 76.999 EUR,,,,,,
406,Germany,Between 50.000 and 54.999 EUR,,,,,,
407,Germany,Between 50.000 and 54.999 EUR,,,,,,
408,Germany,Between 50.000 and 54.999 EUR,,,,,,
410,Germany,Between 55.000 and 65.999 EUR,,,,,,
411,Germany,Between 38.500 and 43.999 EUR,,,,,,
412,Germany,Prefer not to say,,,,,,
416,Germany,Between 66.000 and 76.999 EUR,,,,,,
417,Germany,Between 66.000 and 76.999 EUR,,,,,,
418,Germany,Between 50.000 and 54.999 EUR,,,,,,
419,Germany,Between 33.000 and 38.499 EUR,,,,,,
420,Germany,Between 50.000 and 54.999 EUR,,,,,,
421,Germany,Less than 27.499 EUR,,,,,,
422,Germany,Between 55.000 and 65.999 EUR,,,,,,
423,Germany,Between 50.000 and 54.999 EUR,,,,,,
424,Germany,Between 50.000 and 54.999 EUR,,,,,,
425,Germany,Between 55.000 and 65.999 EUR,,,,,,
426,Germany,Between 55.000 and 65.999 EUR,,,,,,
427,Germany,Between 50.000 and 54.999 EUR,,,,,,
428,Germany,Prefer not to say,,,,,,
429,Germany,Between 44.000 and 49.999 EUR,,,,,,
431,Germany,Between 55.000 and 65.999 EUR,,,,,,
432,Germany,Between 66.000 and 76.999 EUR,,,,,,
433,Germany,Between 50.000 and 54.999 EUR,,,,,,
434,Germany,Between 55.000 and 65.999 EUR,,,,,,
435,Germany,Between 50.000 and 54.999 EUR,,,,,,
436,Germany,Between 50.000 and 54.999 EUR,,,,,,
438,Germany,Between 55.000 and 65.999 EUR,,,,,,
439,Germany,Between 44.000 and 49.999 EUR,,,,,,
440,Germany,Prefer not to say,,,,,,
441,Germany,Between 50.000 and 54.999 EUR,,,,,,
443,Germany,Between 66.000 and 76.999 EUR,,,,,,
444,Germany,Prefer not to say,,,,,,
445,Germany,Between 33.000 and 38.499 EUR,,,,,,
446,Germany,Between 27.500 and 32.999 EUR,,,,,,
447,Germany,Between 55.000 and 65.999 EUR,,,,,,
448,Germany,Between 77.000 and 109.999 EUR,,,,,,
449,Germany,Between 33.000 and 38.499 EUR,,,,,,
450,Germany,Between 55.000 and 65.999 EUR,,,,,,
451,Germany,Between 66.000 and 76.999 EUR,,,,,,
452,Germany,Between 77.000 and 109.999 EUR,,,,,,
454,Germany,Between 50.000 and 54.999 EUR,,,,,,
455,Germany,Between 66.000 and 76.999 EUR,,,,,,
456,Germany,Between 55.000 and 65.999 EUR,,,,,,
457,Germany,Between 55.000 and 65.999 EUR,,,,,,
458,Germany,Between 55.000 and 65.999 EUR,,,,,,
459,Germany,Between 44.000 and 49.999 EUR,,,,,,
461,Germany,Between 44.000 and 49.999 EUR,,,,,,
462,Germany,Between 55.000 and 65.999 EUR,,,,,,
464,Germany,Between 55.000 and 65.999 EUR,,,,,,
465,Germany,Less than 27.499 EUR,,,,,,
466,Germany,Between 44.000 and 49.999 EUR,,,,,,
467,Germany,Between 66.000 and 76.999 EUR,,,,,,
468,Germany,More than 110.000 EUR,,,,,,
469,Germany,Between 66.000 and 76.999 EUR,,,,,,
470,Germany,Between 50.000 and 54.999 EUR,,,,,,
472,Germany,Between 55.000 and 65.999 EUR,,,,,,
474,Germany,Between 55.000 and 65.999 EUR,,,,,,
477,Germany,Between 44.000 and 49.999 EUR,,,,,,
478,Germany,Between 66.000 and 76.999 EUR,,,,,,
479,Germany,Between 50.000 and 54.999 EUR,,,,,,
480,Germany,Between 66.000 and 76.999 EUR,,,,,,
507,Netherlands,,Prefer not to say,,,,,
508,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
509,Netherlands,,Between 66.000 and 76.999 EUR,,,,,
510,Netherlands,,Between 27.500 and 32.999 EUR,,,,,
512,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
513,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
514,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
515,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
516,Netherlands,,Between 77.000 and 109.999 EUR,,,,,
517,Netherlands,,Less than 27.499 EUR,,,,,
518,Netherlands,,More than 110.000 EUR,,,,,
519,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
521,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
522,Netherlands,,Prefer not to say,,,,,
523,Netherlands,,Between 38.500 and 43.999 EUR,,,,,
525,Netherlands,,Between 77.000 and 109.999 EUR,,,,,
526,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
527,Netherlands,,Between 66.000 and 76.999 EUR,,,,,
529,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
530,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
532,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
533,Netherlands,,Prefer not to say,,,,,
534,Netherlands,,Between 77.000 and 109.999 EUR,,,,,
535,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
536,Netherlands,,Prefer not to say,,,,,
537,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
538,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
539,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
540,Netherlands,,Between 66.000 and 76.999 EUR,,,,,
541,Netherlands,,Between 77.000 and 109.999 EUR,,,,,
542,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
543,Netherlands,,Prefer not to say,,,,,
544,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
545,Netherlands,,Between 38.500 and 43.999 EUR,,,,,
546,Netherlands,,Between 38.500 and 43.999 EUR,,,,,
549,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
550,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
551,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
552,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
553,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
555,Netherlands,,Between 38.500 and 43.999 EUR,,,,,
556,Netherlands,,Between 66.000 and 76.999 EUR,,,,,
557,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
558,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
559,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
560,Netherlands,,Between 27.500 and 32.999 EUR,,,,,
561,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
562,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
563,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
564,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
566,Netherlands,,Prefer not to say,,,,,
567,Netherlands,,Between 50.000 and 54.999 EUR,,,,,
568,Netherlands,,Between 55.000 and 65.999 EUR,,,,,
569,Netherlands,,Prefer not to say,,,,,
570,Netherlands,,Between 44.000 and 49.999 EUR,,,,,
571,Netherlands,,Between 33.000 and 38.499 EUR,,,,,
572,Netherlands,,Less than 27.499 EUR,,,,,
573,New Zealand,,,,,,"≥ NZD 120,000",
574,New Zealand,,,,,,Prefer not to say,
575,New Zealand,,,,,,"≥ NZD 120,000",
576,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
577,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
578,New Zealand,,,,,,"≥ NZD 105,000 and < NZD 120,000",
579,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
580,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
581,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
582,New Zealand,,,,,,"≥ NZD 105,000 and < NZD 120,000",
583,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
584,New Zealand,,,,,,"≥ NZD 105,000 and < NZD 120,000",
585,New Zealand,,,,,,Prefer not to say,
586,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
587,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
589,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
590,New Zealand,,,,,,"≥ NZD 120,000",
591,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
592,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
593,New Zealand,,,,,,"≥ NZD 120,000",
594,New Zealand,,,,,,"≥ NZD 65,000 and < NZD 85,000",
595,New Zealand,,,,,,"≥ NZD 45,000 and < NZD 65,000",
596,New Zealand,,,,,,"≥ NZD 85,000 and < NZD 105,000",
597,New Zealand,,,,,,"≥ NZD 45,000 and < NZD 65,000",
598,New Zealand,,,,,,"≥ NZD 45,000 and < NZD 65,000",
599,New Zealand,,,,,,"≥ NZD 120,000",
623,South Africa,,,,,≥ R 296 541 and < R 410 460,,
624,South Africa,,,,,≥ R 296 541 and < R 410 460,,
664,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
665,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
666,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
667,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
668,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
669,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
670,United Kingdom,,,"≥ £58,172",,,,
671,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
672,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
673,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
674,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
675,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
677,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
679,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
680,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
681,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
682,United Kingdom,,,"≥ £58,172",,,,
683,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
685,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
686,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
687,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
688,United Kingdom,,,"≥ £58,172",,,,
689,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
690,United Kingdom,,,Prefer not to say,,,,
691,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
693,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
694,United Kingdom,,,"≥ £58,172",,,,
695,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
697,United Kingdom,,,"≥ £58,172",,,,
698,United Kingdom,,,"≥ £58,172",,,,
699,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
700,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
701,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
702,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
703,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
705,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
706,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
708,United Kingdom,,,"≥ £58,172",,,,
709,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
710,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
712,United Kingdom,,,Prefer not to say,,,,
714,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
715,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
716,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
717,United Kingdom,,,"≥ £58,172",,,,
719,United Kingdom,,,"≥ £58,172",,,,
720,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
721,United Kingdom,,,Prefer not to say,,,,
722,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
723,United Kingdom,,,"< £18,031",,,,
724,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
725,United Kingdom,,,"≥ £58,172",,,,
726,United Kingdom,,,"< £18,031",,,,
727,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
728,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
729,United Kingdom,,,"≥ £58,172",,,,
731,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
732,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
733,United Kingdom,,,"≥ £58,172",,,,
734,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
735,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
737,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
738,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
739,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
740,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
741,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
742,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
743,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
744,United Kingdom,,,Prefer not to say,,,,
745,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
746,United Kingdom,,,"< £18,031",,,,
747,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
748,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
749,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
750,United Kingdom,,,"≥ £58,172",,,,
754,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
755,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
756,United Kingdom,,,Prefer not to say,,,,
757,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
760,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
761,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
762,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
763,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
764,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
765,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
766,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
767,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
768,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
770,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
771,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
772,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
773,United Kingdom,,,"≥ £58,172",,,,
774,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
775,United Kingdom,,,Prefer not to say,,,,
776,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
777,United Kingdom,,,"≥ £58,172",,,,
778,United Kingdom,,,"≥ £58,172",,,,
780,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
781,United Kingdom,,,"≥ £58,172",,,,
782,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
783,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
784,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
785,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
786,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
787,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
788,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
790,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
791,United Kingdom,,,Prefer not to say,,,,
792,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
793,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
795,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
796,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
797,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
798,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
799,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
800,United Kingdom,,,"≥ £58,172",,,,
801,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
802,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
803,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
804,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
806,United Kingdom,,,"≥ £24,057 and < £32,277",,,,
807,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
808,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
809,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
810,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
812,United Kingdom,,,"≥ £58,172",,,,
813,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
814,United Kingdom,,,"< £18,031",,,,
815,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
816,United Kingdom,,,"≥ £58,172",,,,
817,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
819,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
822,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
823,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
824,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
825,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
826,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
828,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
829,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
830,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
831,United Kingdom,,,"≥ £58,172",,,,
832,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
833,United Kingdom,,,Prefer not to say,,,,
834,United Kingdom,,,"≥ £18,031 and < £24,057",,,,
836,United Kingdom,,,"≥ £43,325 and < £58,172",,,,
838,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
839,United Kingdom,,,"≥ £32,277 and < £43,325",,,,
841,United States,,,,"< $30,000",,,
842,United States,,,,"≥ $90,000 and < $109,999",,,
843,United States,,,,"≥ $130,000 and < $149,999",,,
844,United States,,,,"≥ $90,000 and < $109,999",,,
845,United States,,,,"≥ $110,000 and < $129,999",,,
